'august 14 1733', '1733-08-14'
'october 16 1527', '1527-10-16'
'18 may 1825', '1825-05-18'
'sep 18 1828', '1828-09-18'
'august 29 1758', '1758-08-29'
'august 6 1918', '1918-08-06'
'jul 16 1676', '1676-07-16'
'mar 17 1564', '1564-03-17'
'1870 14 november', '1870-11-14'
'4 april 1974', '1974-04-04'
'january 23 1765', '1765-01-23'
'november 26 1594', '1594-11-26'
'2 january 1797', '1797-01-02'
'1735 11 october', '1735-10-11'
'2005 16 may', '2005-05-16'
'19 september 2064', '2064-09-19'
'17 january 1538', '1538-01-17'
'monday 21 september 1936', '1936-09-21'
'27 august 1542', '1542-08-27'
'february 14 2043', '2043-02-14'
'jul 6 1805', '1805-07-06'
'tuesday 1979 2 01', '1979-01-02'
'17 jun 1963', '1963-06-17'
'april 20 1698', '1698-04-20'
'6 may 1691', '1691-05-06'
'may 27 1775', '1775-05-27'
'may 13 2063', '2063-05-13'
'mar 19 1548', '1548-03-19'
'tuesday november 21 1572', '1572-11-21'
'october 22 1741', '1741-10-22'
'1540 16 nov', '1540-11-16'
'october 31 1655', '1655-10-31'
'2/1/34', '1534-02-01'
'1633 26 october', '1633-10-26'
'11/12/1737', '1737-12-11'
'jun 23 1910', '1910-06-23'
'march 14 1876', '1876-03-14'
'monday 29 october 1579', '1579-10-29'
'1949 27 may', '1949-05-27'
'wednesday november 1 1656', '1656-11-01'
'jan 11 2005', '2005-01-11'
'tue 1835 7 july', '1835-07-07'
'tuesday 20 april 2055', '2055-04-20'
'11/9/70', '1570-11-09'
'february 1 1617', '1617-02-01'
'wednesday may 13 1964', '1964-05-13'
'oct 3 1885', '1885-10-03'
'22 september 1735', '1735-09-22'
'mon 2049 26 july', '2049-07-26'
'15 jan 1707', '1707-01-15'
'10/12/1752', '1752-12-10'
'tuesday october 19 1604', '1604-10-19'
'28 sep 1698', '1698-09-28'
'august 16 1840', '1840-08-16'
'7/6/00', '2000-07-06'
'mon 1606 7 august', '1606-08-07'
'16 january 1583', '1583-01-16'
'21/09/1802', '1802-09-21'
'july 26 1775', '1775-07-26'
'november 2 1633', '1633-11-02'
'april 26 1668', '1668-04-26'
'friday october 30 1648', '1648-10-30'
'04/07/2031', '2031-07-04'
'sun 4 jan 1756', '1756-01-04'
'1533 7 may', '1533-05-07'
'wednesday june 19 1546', '1546-06-19'
'sunday april 25 1728', '1728-04-25'
'january 30 1833', '1833-01-30'
'wednesday 13 october 1926', '1926-10-13'
'dec 30 2011', '2011-12-30'
'06/01/1838', '1838-01-06'
'friday august 8 1834', '1834-08-08'
'wednesday july 27 1831', '1831-07-27'
'august 24 1737', '1737-08-24'
'16 april 1790', '1790-04-16'
'may 19 1565', '1565-05-19'
'february 3 1759', '1759-02-03'
'jul 6 1930', '1930-07-06'
'30 mar 1570', '1570-03-30'
'august 25 1932', '1932-08-25'
'june 14 1691', '1691-06-14'
'october 26 2043', '2043-10-26'
'16 march 1626', '1626-03-16'
'aug 13 1937', '1937-08-13'
'saturday 12 february 1718', '1718-02-12'
'mar 24 1751', '1751-03-24'
'wed 2062 1 march', '2062-03-01'
'august 29 1997', '1997-08-29'
'november 24 2048', '2048-11-24'
'jun 24 1774', '1774-06-24'
'19/10/1953', '1953-10-19'
'7 january 1695', '1695-01-07'
'11/14/06', '1906-11-14'
'mon 1919 22 september', '1919-09-22'
'mon 24 may 1802', '1802-05-24'
'thu 1991 21 november', '1991-11-21'
'june 24 1888', '1888-06-24'
'nov 16 1588', '1588-11-16'
'april 26 1888', '1888-04-26'
'february 18 1698', '1698-02-18'
'tuesday october 1 1540', '1540-10-01'
'tuesday january 8 1946', '1946-01-08'
'oct 20 1693', '1693-10-20'
'12 nov 1779', '1779-11-12'
'november 24 1766', '1766-11-24'
'aug 2 1721', '1721-08-02'
'july 6 1895', '1895-07-06'
'18 may 2069', '2069-05-18'
'30 july 1751', '1751-07-30'
'may 24 1658', '1658-05-24'
'monday 1738 12 05', '1738-05-12'
'feb 9 1784', '1784-02-09'
'19 april 1607', '1607-04-19'
'tuesday 17 november 1925', '1925-11-17'
'sunday 8 july 1523', '1523-07-08'
'saturday 13 september 1653', '1653-09-13'
'7 aug 1907', '1907-08-07'
'sunday august 25 1816', '1816-08-25'
'august 19 1656', '1656-08-19'
'dec 9 1692', '1692-12-09'
'thu 6 dec 2012', '2012-12-06'
'7 december 1542', '1542-12-07'
'may 19 1767', '1767-05-19'
'saturday 15 december 1607', '1607-12-15'
'1672 20 january', '1672-01-20'
'thursday may 28 1896', '1896-05-28'
'august 31 1695', '1695-08-31'
'21 august 1709', '1709-08-21'
'april 14 1755', '1755-04-14'
'wednesday july 25 1674', '1674-07-25'
'march 12 1528', '1528-03-12'
'nov 15 1895', '1895-11-15'
'4 december 1595', '1595-12-04'
'9 july 1837', '1837-07-09'
'september 4 1564', '1564-09-04'
'24 march 1751', '1751-03-24'
'wed 13 apr 1955', '1955-04-13'
'11/15/73', '1673-11-15'
'monday 1930 2 06', '1930-06-02'
'07/05/2004', '2004-05-07'
'8 nov 2064', '2064-11-08'
'sun 28 jun 1857', '1857-06-28'
'april 1 1989', '1989-04-01'
'1801 21 january', '1801-01-21'
'thu 1640 9 august', '1640-08-09'
'november 5 1568', '1568-11-05'
'tuesday december 16 1783', '1783-12-16'
'january 20 1843', '1843-01-20'
'friday may 14 1632', '1632-05-14'
'friday 17 december 1565', '1565-12-17'
'sep 8 1774', '1774-09-08'
'april 27 1647', '1647-04-27'
'july 15 1557', '1557-07-15'
'sat 1877 18 august', '1877-08-18'
'sunday 1687 28 12', '1687-12-28'
'monday march 4 1985', '1985-03-04'
'wednesday 1620 5 02', '1620-02-05'
'aug 31 1883', '1883-08-31'
'monday october 19 1699', '1699-10-19'
'19 dec 1527', '1527-12-19'
'january 7 2022', '2022-01-07'
'feb 4 1905', '1905-02-04'
'29 november 1787', '1787-11-29'
'october 23 2024', '2024-10-23'
'16 november 1557', '1557-11-16'
'11/22/65', '2065-11-22'
'saturday november 13 1582', '1582-11-13'
'august 30 1959', '1959-08-30'
'12 february 1563', '1563-02-12'
'april 1 2032', '2032-04-01'
'20 october 1806', '1806-10-20'
'20 november 1731', '1731-11-20'
'jul 5 1671', '1671-07-05'
'jul 4 2047', '2047-07-04'
'21 march 1551', '1551-03-21'
'october 4 1994', '1994-10-04'
'1824 17 may', '1824-05-17'
'3 may 1690', '1690-05-03'
'january 4 1852', '1852-01-04'
'october 11 1620', '1620-10-11'
'wednesday may 29 1771', '1771-05-29'
'16 sep 1668', '1668-09-16'
'saturday 10 january 1970', '1970-01-10'
'12 october 1905', '1905-10-12'
'saturday december 3 1527', '1527-12-03'
'1 august 1920', '1920-08-01'
'sunday 1657 9 09', '1657-09-09'
'nov 29 1552', '1552-11-29'
'wed 14 nov 1691', '1691-11-14'
'friday may 17 1720', '1720-05-17'
'1981 15 august', '1981-08-15'
'31 march 1685', '1685-03-31'
'feb 9 1864', '1864-02-09'
'july 13 1602', '1602-07-13'
'saturday november 29 2036', '2036-11-29'
'may 14 1843', '1843-05-14'
'december 15 1837', '1837-12-15'
'03/10/1674', '1674-10-03'
'saturday december 25 1683', '1683-12-25'
'7 may 1826', '1826-05-07'
'15 december 1621', '1621-12-15'
'june 2 2015', '2015-06-02'
'nov 23 1654', '1654-11-23'
'10/10/1661', '1661-10-10'
'1674 4 oct', '1674-10-04'
'dec 17 1769', '1769-12-17'
'tuesday august 1 1623', '1623-08-01'
'september 19 2053', '2053-09-19'
'1526 21 february', '1526-02-21'
'apr 1 1681', '1681-04-01'
'15 march 1604', '1604-03-15'
'25 june 1793', '1793-06-25'
'tuesday 2038 14 12', '2038-12-14'
'jul 19 1645', '1645-07-19'
'1600 6 july', '1600-07-06'
'9 march 1565', '1565-03-09'
'1711 30 may', '1711-05-30'
'22 january 2068', '2068-01-22'
'february 10 2012', '2012-02-10'
'july 13 1714', '1714-07-13'
'oct 29 1860', '1860-10-29'
'may 16 1559', '1559-05-16'
'mon 13 jan 2031', '2031-01-13'
'june 17 1592', '1592-06-17'
'aug 3 1852', '1852-08-03'
'9 jun 1716', '1716-06-09'
'wed 2061 29 june', '2061-06-29'
'dec 15 1636', '1636-12-15'
'4 june 2019', '2019-06-04'
'jun 24 1665', '1665-06-24'
'jan 19 1735', '1735-01-19'
'23 may 1876', '1876-05-23'
'november 23 1904', '1904-11-23'
'december 13 2045', '2045-12-13'
'april 26 1571', '1571-04-26'
'sunday 24 march 1591', '1591-03-24'
'march 15 2054', '2054-03-15'
'4 august 1761', '1761-08-04'
'sep 1 2056', '2056-09-01'
'14 march 1700', '1700-03-14'
'september 2 1775', '1775-09-02'
'10 march 1757', '1757-03-10'
'2 march 1646', '1646-03-02'
'mon 1573 19 february', '1573-02-19'
'apr 27 1855', '1855-04-27'
'apr 5 1962', '1962-04-05'
'6/11/56', '1956-06-11'
'fri 7 feb 1772', '1772-02-07'
'jun 8 1559', '1559-06-08'
'30 december 1953', '1953-12-30'
'december 5 1583', '1583-12-05'
'1650 3 may', '1650-05-03'
'december 21 1950', '1950-12-21'
'january 19 1641', '1641-01-19'
'wed 1663 9 may', '1663-05-09'
'1806 20 july', '1806-07-20'
'april 4 1674', '1674-04-04'
'22 march 1742', '1742-03-22'
'thursday 31 august 1645', '1645-08-31'
'august 25 2016', '2016-08-25'
'29 jan 1595', '1595-01-29'
'jul 17 1673', '1673-07-17'
'friday 1737 17 05', '1737-05-17'
'october 7 1653', '1653-10-07'
'april 27 1708', '1708-04-27'
'sunday february 12 1978', '1978-02-12'
'november 30 1637', '1637-11-30'
'december 7 2017', '2017-12-07'
'mon 1975 23 june', '1975-06-23'
'apr 16 1781', '1781-04-16'
'tuesday march 4 1721', '1721-03-04'
'saturday 23 october 1920', '1920-10-23'
'1591 2 apr', '1591-04-02'
'16 july 2046', '2046-07-16'
'29 january 1590', '1590-01-29'
'28 december 1944', '1944-12-28'
'apr 15 1750', '1750-04-15'
'tuesday august 16 1859', '1859-08-16'
'wed 1620 27 may', '1620-05-27'
'march 16 1959', '1959-03-16'
'september 7 1561', '1561-09-07'
'25 april 1565', '1565-04-25'
'3 august 1777', '1777-08-03'
'apr 25 1868', '1868-04-25'
'sat 1 apr 1944', '1944-04-01'
'mon 9 apr 1545', '1545-04-09'
'apr 29 1583', '1583-04-29'
'friday 19 august 1672', '1672-08-19'
'thursday 11 march 2055', '2055-03-11'
'jun 16 1862', '1862-06-16'
'march 13 1683', '1683-03-13'
'17 november 2029', '2029-11-17'
'2 december 1854', '1854-12-02'
'4 april 1526', '1526-04-04'
'tue 16 may 1871', '1871-05-16'
'monday may 24 1700', '1700-05-24'
'23 december 1780', '1780-12-23'
'30 september 1943', '1943-09-30'
'feb 21 1544', '1544-02-21'
'may 22 2044', '2044-05-22'
'1921 8 jun', '1921-06-08'
'march 15 1811', '1811-03-15'
'april 15 1852', '1852-04-15'
'19/05/2035', '2035-05-19'
'13 january 1943', '1943-01-13'
'1948 15 july', '1948-07-15'
'may 4 1806', '1806-05-04'
'july 14 1912', '1912-07-14'
'mar 14 1572', '1572-03-14'
'2/27/87', '1987-02-27'
'august 21 1700', '1700-08-21'
'apr 2 1732', '1732-04-02'
'monday 28 october 1839', '1839-10-28'
'sep 2 1677', '1677-09-02'
'sep 7 1861', '1861-09-07'
'1940 4 september', '1940-09-04'
'august 25 2005', '2005-08-25'
'26/09/1557', '1557-09-26'
'june 28 1587', '1587-06-28'
'18 april 1922', '1922-04-18'
'22 december 1932', '1932-12-22'
'1620 18 january', '1620-01-18'
'thursday december 4 1902', '1902-12-04'
'25 december 1914', '1914-12-25'
'thursday january 12 1804', '1804-01-12'
'2060 18 jun', '2060-06-18'
'2035 15 december', '2035-12-15'
'december 10 1562', '1562-12-10'
'6 january 2065', '2065-01-06'
'november 29 1869', '1869-11-29'
'8 january 1610', '1610-01-08'
'24 june 1740', '1740-06-24'
'february 5 1735', '1735-02-05'
'18 october 1566', '1566-10-18'
'wednesday 23 february 1678', '1678-02-23'
'oct 31 1636', '1636-10-31'
'oct 18 1754', '1754-10-18'
'nov 25 1700', '1700-11-25'
'1615 1 apr', '1615-04-01'
'october 11 1632', '1632-10-11'
'11 june 1981', '1981-06-11'
'fri 30 oct 1807', '1807-10-30'
'july 15 1672', '1672-07-15'
'apr 22 1556', '1556-04-22'
'1767 16 june', '1767-06-16'
'21 january 1754', '1754-01-21'
'25 september 2023', '2023-09-25'
'wed 15 jun 1994', '1994-06-15'
'1647 27 november', '1647-11-27'
'july 9 1784', '1784-07-09'
'16/02/1964', '1964-02-16'
'october 18 1833', '1833-10-18'
'january 26 1544', '1544-01-26'
'september 19 1529', '1529-09-19'
'4 october 1535', '1535-10-04'
'1952 6 aug', '1952-08-06'
'19 august 2066', '2066-08-19'
'may 25 1981', '1981-05-25'
'july 15 1655', '1655-07-15'
'9 september 1744', '1744-09-09'
'23 sep 1845', '1845-09-23'
'may 14 1864', '1864-05-14'
'tuesday january 30 1827', '1827-01-30'
'february 2 1588', '1588-02-02'
'jan 31 1950', '1950-01-31'
'september 29 1667', '1667-09-29'
'jun 22 1633', '1633-06-22'
'jun 9 1976', '1976-06-09'
'august 16 1919', '1919-08-16'
'8 feb 1548', '1548-02-08'
'wednesday march 29 1972', '1972-03-29'
'jul 3 1906', '1906-07-03'
'thu 12 dec 1889', '1889-12-12'
'september 30 1893', '1893-09-30'
'sat 1848 2 december', '1848-12-02'
'april 18 1773', '1773-04-18'
'6/27/79', '1879-06-27'
'may 8 1790', '1790-05-08'
'feb 10 1542', '1542-02-10'
'february 2 1889', '1889-02-02'
'march 17 1941', '1941-03-17'
'september 1 1826', '1826-09-01'
'friday january 8 1683', '1683-01-08'
'july 23 1601', '1601-07-23'
'thursday 1867 14 02', '1867-02-14'
'monday 22 january 1844', '1844-01-22'
'sat 1918 2 february', '1918-02-02'
'2005 17 march', '2005-03-17'
'1960 20 september', '1960-09-20'
'april 4 1698', '1698-04-04'
'monday february 5 2052', '2052-02-05'
'aug 28 1788', '1788-08-28'
'january 5 1645', '1645-01-05'
'jul 5 1920', '1920-07-05'
'wednesday february 16 1684', '1684-02-16'
'16 december 1643', '1643-12-16'
'20 february 1878', '1878-02-20'
'saturday september 3 2022', '2022-09-03'
'february 11 2000', '2000-02-11'
'1932 18 october', '1932-10-18'
'9 august 1861', '1861-08-09'
'2017 20 dec', '2017-12-20'
'jul 3 1621', '1621-07-03'
'december 11 1986', '1986-12-11'
'wednesday june 28 1662', '1662-06-28'
'july 13 1801', '1801-07-13'
'31 august 1648', '1648-08-31'
'saturday 1683 11 09', '1683-09-11'
'june 13 2034', '2034-06-13'
'thursday august 24 1730', '1730-08-24'
'tuesday 23 august 1678', '1678-08-23'
'may 9 1814', '1814-05-09'
'saturday 23 july 1859', '1859-07-23'
'aug 13 1869', '1869-08-13'
'sunday 11 march 1691', '1691-03-11'
'9 january 1713', '1713-01-09'
'29 december 1556', '1556-12-29'
'jun 3 1831', '1831-06-03'
'march 22 1944', '1944-03-22'
'5/7/22', '1522-05-07'
'20 nov 1539', '1539-11-20'
'june 20 1962', '1962-06-20'
'dec 16 1545', '1545-12-16'
'20 march 1874', '1874-03-20'
'friday november 21 1862', '1862-11-21'
'friday december 7 1849', '1849-12-07'
'october 11 1836', '1836-10-11'
'tuesday november 25 1710', '1710-11-25'
'mar 27 1924', '1924-03-27'
'tuesday 1778 14 07', '1778-07-14'
'may 5 1707', '1707-05-05'
'august 10 1976', '1976-08-10'
'october 16 1849', '1849-10-16'
'april 22 1571', '1571-04-22'
'1765 5 feb', '1765-02-05'
'23 april 2003', '2003-04-23'
'sep 9 1837', '1837-09-09'
'feb 20 1641', '1641-02-20'
'1960 7 april', '1960-04-07'
'25 sep 1881', '1881-09-25'
'november 27 2002', '2002-11-27'
'december 16 1847', '1847-12-16'
'13 march 1621', '1621-03-13'
'26/12/1542', '1542-12-26'
'7/28/33', '1633-07-28'
'may 25 1882', '1882-05-25'
'december 22 2020', '2020-12-22'
'february 6 1527', '1527-02-06'
'11 september 1834', '1834-09-11'
'1715 11 sep', '1715-09-11'
'january 4 1623', '1623-01-04'
'tuesday february 25 1676', '1676-02-25'
'1554 10 february', '1554-02-10'
'march 15 1736', '1736-03-15'
'1936 11 september', '1936-09-11'
'1570 20 november', '1570-11-20'
'17 october 1903', '1903-10-17'
'jan 24 1582', '1582-01-24'
'10 may 1571', '1571-05-10'
'21 november 1607', '1607-11-21'
'3 jan 1674', '1674-01-03'
'03/04/1819', '1819-04-03'
'11/05/1716', '1716-05-11'
'tue 1624 9 january', '1624-01-09'
'apr 30 2020', '2020-04-30'
'1677 20 jan', '1677-01-20'
'april 7 1958', '1958-04-07'
'friday july 13 1923', '1923-07-13'
'july 29 1891', '1891-07-29'
'15 july 1572', '1572-07-15'
'tue 16 jul 1613', '1613-07-16'
'november 11 2036', '2036-11-11'
'7 april 1969', '1969-04-07'
'thursday 2066 25 03', '2066-03-25'
'saturday 3 december 1932', '1932-12-03'
'1612 12 september', '1612-09-12'
'january 27 2047', '2047-01-27'
'mon 19 jan 2037', '2037-01-19'
'9 november 1973', '1973-11-09'
'may 19 1804', '1804-05-19'
'29 august 2043', '2043-08-29'
'1 april 1878', '1878-04-01'
'sunday 5 september 1706', '1706-09-05'
'june 5 1794', '1794-06-05'
'jan 4 2004', '2004-01-04'
'11 april 1719', '1719-04-11'
'september 4 1683', '1683-09-04'
'1737 22 jan', '1737-01-22'
'november 1 1790', '1790-11-01'
'07/03/1625', '1625-03-07'
'3 september 1753', '1753-09-03'
'5 january 2060', '2060-01-05'
'11/4/60', '2060-11-04'
'friday 1628 16 06', '1628-06-16'
'1982 23 april', '1982-04-23'
'monday 2 july 1742', '1742-07-02'
'25 may 1529', '1529-05-25'
'april 30 1958', '1958-04-30'
'fri 1737 8 march', '1737-03-08'
'29 april 1672', '1672-04-29'
'mar 4 1809', '1809-03-04'
'thursday 1831 1 09', '1831-09-01'
'mar 13 1540', '1540-03-13'
'september 6 1585', '1585-09-06'
'october 19 1557', '1557-10-19'
'14 january 1698', '1698-01-14'
'27 april 1995', '1995-04-27'
'monday 2 june 1919', '1919-06-02'
'saturday 30 april 1983', '1983-04-30'
'october 12 1566', '1566-10-12'
'wednesday 1756 28 01', '1756-01-28'
'june 20 1717', '1717-06-20'
'september 14 1870', '1870-09-14'
'june 16 1996', '1996-06-16'
'18/05/1928', '1928-05-18'
'15 january 1693', '1693-01-15'
'monday 13 february 1933', '1933-02-13'
'sunday july 27 1636', '1636-07-27'
'jun 15 1720', '1720-06-15'
'jul 30 1932', '1932-07-30'
'28 aug 1907', '1907-08-28'
'thu 11 dec 1692', '1692-12-11'
'nov 1 2022', '2022-11-01'
'january 24 1801', '1801-01-24'
'28 august 1765', '1765-08-28'
'10/10/2058', '2058-10-10'
'december 22 1905', '1905-12-22'
'8 sep 1701', '1701-09-08'
'24 february 1923', '1923-02-24'
'tue 1606 6 june', '1606-06-06'
'sunday 1856 13 01', '1856-01-13'
'1772 2 oct', '1772-10-02'
'june 7 1825', '1825-06-07'
'saturday 8 august 1722', '1722-08-08'
'september 10 1601', '1601-09-10'
'friday december 24 1762', '1762-12-24'
'oct 28 2001', '2001-10-28'
'may 29 1594', '1594-05-29'
'september 11 1842', '1842-09-11'
'4/28/28', '1928-04-28'
'tuesday june 11 1619', '1619-06-11'
'mar 9 1633', '1633-03-09'
'19/12/1527', '1527-12-19'
'1673 1 april', '1673-04-01'
'november 7 1565', '1565-11-07'
'24 october 1567', '1567-10-24'
'mar 9 1921', '1921-03-09'
'4/19/67', '1867-04-19'
'october 31 2007', '2007-10-31'
'14/02/1540', '1540-02-14'
'october 28 1883', '1883-10-28'
'tue 1557 28 may', '1557-05-28'
'jul 31 1995', '1995-07-31'
'sat 6 feb 1773', '1773-02-06'
'september 28 1908', '1908-09-28'
'26 aug 1600', '1600-08-26'
'august 27 1527', '1527-08-27'
'june 30 1871', '1871-06-30'
'friday 15 september 2051', '2051-09-15'
'june 24 1820', '1820-06-24'
'friday february 5 1751', '1751-02-05'
'november 21 2051', '2051-11-21'
'saturday december 10 1633', '1633-12-10'
'1990 5 april', '1990-04-05'
'march 12 1584', '1584-03-12'
'mon 1856 29 september', '1856-09-29'
'aug 30 1609', '1609-08-30'
'june 16 1562', '1562-06-16'
'july 30 1887', '1887-07-30'
'10/28/08', '1908-10-28'
'march 27 1961', '1961-03-27'
'22 june 1852', '1852-06-22'
'1629 8 jun', '1629-06-08'
'22 december 1885', '1885-12-22'
'1684 8 oct', '1684-10-08'
'wednesday may 6 1665', '1665-05-06'
'1736 26 may', '1736-05-26'
'25 january 1678', '1678-01-25'
'8 september 1959', '1959-09-08'
'8 may 1836', '1836-05-08'
'wednesday march 15 1995', '1995-03-15'
'tuesday 1549 27 12', '1549-12-27'
'10/31/23', '1523-10-31'
'sat 27 apr 1563', '1563-04-27'
'tue 1703 9 october', '1703-10-09'
'sunday 4 august 1833', '1833-08-04'
'may 15 1558', '1558-05-15'
'april 23 1899', '1899-04-23'
'july 22 1691', '1691-07-22'
'wednesday 8 may 2019', '2019-05-08'
'oct 26 1597', '1597-10-26'
'1869 20 september', '1869-09-20'
'22/03/1870', '1870-03-22'
'thursday 20 march 1597', '1597-03-20'
'9/18/87', '1587-09-18'
'december 15 1620', '1620-12-15'
'sunday january 9 1667', '1667-01-09'
'5 august 1581', '1581-08-05'
'jul 10 1657', '1657-07-10'
'23 feb 2029', '2029-02-23'
'sep 11 1921', '1921-09-11'
'4 april 2021', '2021-04-04'
'may 30 2024', '2024-05-30'
'saturday april 15 1933', '1933-04-15'
'december 21 2017', '2017-12-21'
'tuesday november 12 1861', '1861-11-12'
'13 oct 1644', '1644-10-13'
'sun 11 may 1732', '1732-05-11'
'26 nov 2066', '2066-11-26'
'wednesday february 20 2036', '2036-02-20'
'sunday september 21 1958', '1958-09-21'
'1901 7 january', '1901-01-07'
'march 22 1676', '1676-03-22'
'17/02/1607', '1607-02-17'
'mon 1557 4 march', '1557-03-04'
'14 december 1548', '1548-12-14'
'thu 7 aug 1597', '1597-08-07'
'saturday july 24 1593', '1593-07-24'
'september 7 1855', '1855-09-07'
'friday january 10 1958', '1958-01-10'
'oct 2 1705', '1705-10-02'
'august 17 1905', '1905-08-17'
'apr 4 1577', '1577-04-04'
'april 25 1556', '1556-04-25'
